IdDominio,Texto,IdLengua,Texto,IdRasgo,Texto,IdValorRasgo,Texto
3,Estructura Argumental ,16,Selknam,2,Doble marcación de argumentos ,2,Ausencia
3,Estructura Argumental ,16,Selknam,14,Codificación de P en el sustantivo ,2,Sin marca
3,Estructura Argumental ,16,Selknam,15,Marcación de T en el sustantivo ,2,Sin marca
3,Estructura Argumental ,16,Selknam,16,Marcación de R en el sustantivo ,2,Sin marca
3,Estructura Argumental ,17,Yagan,3,Alineamiento intransitivo transitivo,1,nominativo acusativo (A=S≠P)
3,Estructura Argumental ,17,Yagan,4,Alineamiento transitivo ditransitivo,7,Tripartito
3,Estructura Argumental ,17,Yagan,5,fusión de argumentos,2,no fusión
3,Estructura Argumental ,17,Yagan,7,Codificación de S,2,Prefijo verbal
3,Estructura Argumental ,17,Yagan,8,Codificación de A,2,Prefijo verbal
3,Estructura Argumental ,17,Yagan,9,Codificación de P ,2,prefijo verbal
3,Estructura Argumental ,17,Yagan,10,Codificación de T,1,sin marca
3,Estructura Argumental ,17,Yagan,11,Codificación de R,5,sin marca
3,Estructura Argumental ,17,Yagan,12,alineamiento intransitivo-transitivo (flaggi),1,neutro
3,Estructura Argumental ,17,Yagan,13,alineamiento transitivo-ditransitivo (flaggi),1,neutro
3,Estructura Argumental ,17,Yagan,6,Codificación de S en el sustantivo ,2,Sin marca
3,Estructura Argumental ,17,Yagan,1,Codificación de A en el sustantivo ,2,Sin marca
3,Estructura Argumental ,17,Yagan,2,Doble marcación de argumentos ,2,Ausencia
3,Estructura Argumental ,17,Yagan,14,Codificación de P en el sustantivo ,2,Sin marca
3,Estructura Argumental ,17,Yagan,15,Marcación de T en el sustantivo ,2,Sin marca
3,Estructura Argumental ,17,Yagan,16,Marcación de R en el sustantivo ,2,Sin marca
3,Estructura Argumental ,21,Pilaga,3,Alineamiento intransitivo transitivo,1,nominativo acusativo (A=S≠P)
3,Estructura Argumental ,21,Pilaga,4,Alineamiento transitivo ditransitivo,2,secundativo o de objeto secundario (T≠P)
3,Estructura Argumental ,21,Pilaga,5,fusión de argumentos,2,no fusión
3,Estructura Argumental ,21,Pilaga,7,Codificación de S,2,Prefijo verbal
3,Estructura Argumental ,21,Pilaga,8,Codificación de A,2,Prefijo verbal
3,Estructura Argumental ,21,Pilaga,9,Codificación de P ,2,prefijo verbal
3,Estructura Argumental ,21,Pilaga,10,Codificación de T,1,sin marca
3,Estructura Argumental ,21,Pilaga,11,Codificación de R,2,prefijo verbal
