Lexema;Significado                                                                                                                                                                                    
ckerantur; mascar                                                                                                                                                                                     
ckersitur; asustar                                                                                                                                                                                    
ckestur; pararse                                                                                                                                                                                      
cketchir; huevo de piojo                                                                                                                                                                              
cketti; año                                                                                                                                                                                           
ckeutur; llorar                                                                                                                                                                                       
ckeu-uy; dientes                                                                                                                                                                                      
ckibur; hembra                                                                                                                                                                                        
cki-i; mi, mío                                                                                                                                                                                        
cki-is; entre (prepos)                                                                                                                                                                                
cki-itur; pelear                                                                                                                                                                                      
ckilapana; aloja, bebida atacameña hecha con algarroba                                                                                                                                                
ckilir; raton                                                                                                                                                                                         
ckiltorsocompa; apellido de 1618                                                                                                                                                                      
ckintur; roer                                                                                                                                                                                         
ckipti; cama                                                                                                                                                                                          
ckiptur; amar, querer                                                                                                                                                                                 
ckitchcknatur; anudar                                                                                                                                                                                 
ckira; compuerta                                                                                                                                                                                      
ckirckir; palomita que abunda en la cordillera                                                                                                                                                        
ckis-tchatur; besar                                                                                                                                                                                   
ckisti; greda                                                                                                                                                                                         
ckits; suyo                                                                                                                                                                                           
ckitche; huevo de piojo                                                                                                                                                                               
ckitti; cama                                                                                                                                                                                          
ckito; arriba                                                                                                                                                                                         
ckockimbaltir; apellido de 1615                                                                                                                                                                       
ckocko; loma                                                                                                                                                                                          
ckockops; este                                                                                                                                                                                        
ckockops; atras                                                                                                                                                                                       
ckocksur; pedo                                                                                                                                                                                        
ckocku; atras                                                                                                                                                                                         
ckoiba; cueva                                                                                                                                                                                         
ckoicktur; alegria, alegrarse, hombrear                                                                                                                                                               
ckoickstur; aborrecer                                                                                                                                                                                 
ckoi-man; duende, remolino                                                                                                                                                                            
ckoimar; ventolera                                                                                                                                                                                    
ckoimatur; olvidar                                                                                                                                                                                    
ckoinatur; hilar                                                                                                                                                                                      
ckoirama; el anochecer, el crepúsculo                                                                                                                                                                 
ckoistur; odiar                                                                                                                                                                                       
ckoitchi; arco íris                                                                                                                                                                                   
ckoitur; huso                                                                                                                                                                                         
ckol;co                                                                                                                                                                                               
ckolackuntur; ensartar                                                                                                                                                                                
ckolan; perdiz                                                                                                                                                                                        
ckolas; acción de ulpear, tomar harina tostada de maíz desleida en agua fria, designa también las 12 del día                                                                                          
colatur; almorzar                                                                                                                                                                                     
ckolbacktur; responder, contestar                                                                                                                                                                     
ckolckitur; embarazo                                                                                                                                                                                  
ckolckol; la rótula de la rodilla                                                                                                                                                                     
ckoli; tórax                                                                                                                                                                                          
ckolcktur; caer                                                                                                                                                                                       
ckoltao; añapa, ingrediente para fabricación de la chicha                                                                                                                                             
ckolti; cuello de un vestido                                                                                                                                                                          
ckomal; garganta                                                                                                                                                                                      
ckomallechaque; murmurador                                                                                                                                                                            
ckomuraimir; ronquera, enronquecido                                                                                                                                                                   
ckonatur; temer                                                                                                                                                                                       
ckonicks; anciano                                                                                                                                                                                     
ckonni; ántes                                                                                                                                                                                         
ckonnir; diestra                                                                                                                                                                                      
ckontor; cóndor                                                                                                                                                                                       
ckontarhualtir; apellido de 1626                                                                                                                                                                      
ckonntur; buscar                                                                                                                                                                                      
ckonnti; gente                                                                                                                                                                                        
ckonte; gente                                                                                                                                                                                         
ckoockops; detras                                                                                                                                                                                     
ckooli; cuerpo                                                                                                                                                                                        
ckools; agujero                                                                                                                                                                                       
ckooyo; cuello                                                                                                                                                                                        
ckopa; puño, mango                                                                                                                                                                                    
ckopackotur; corretear                                                                                                                                                                                
ckopal; apellido de 1620                                                                                                                                                                              
ckopailitti; larva                                                                                                                                                                                    
ckopi; manco                                                                                                                                                                                          
ckopiapó; copiapó                                                                                                                                                                                     
ckoraitur; mecer                                                                                                                                                                                      
ckori; gordo                                                                                                                                                                                          
ckori; cuento, chisme                                                                                                                                                                                 
ckorin; verdad                                                                                                                                                                                        
ckorinta; cierto                                                                                                                                                                                      
ckoritur; engordar                                                                                                                                                                                    
ckoro; cáscara de huevo                                                                                                                                                                               
ckorpintur; deshojar                                                                                                                                                                                  
ckosckantur; vendar                                                                                                                                                                                   
ckosckatur; abrigar, tapar                                                                                                                                                                            
ckoscko; lechuza                                                                                                                                                                                      
ckot; suyos                                                                                                                                                                                           
ckot-ckot; clueca                                                                                                                                                                                     
ckota; los                                                                                                                                                                                            
ckotack-saya; mios                                                                                                                                                                                    
ckontatur; agradecer                                                                                                                                                                                  
ckotatur; revolcar                                                                                                                                                                                    
ckotch; la                                                                                                                                                                                            
ckotchayá; a los                                                                                                                                                                                      
ckotchí; enfermo                                                                                                                                                                                      
ckotcho; mazamorra con harina de trigo tostado                                                                                                                                                        
ckot-cko; cráneo                                                                                                                                                                                      
ckot-ckol; con ellos                                                                                                                                                                                  
ckot-tar; costura                                                                                                                                                                                     
ckot-tatur ; enfermarse                                                                                                                                                                               
contuntur; cabestrear, tirar del cabestro                                                                                                                                                             
ckoiyajne; contento                                                                                                                                                                                   
ckoi-yi; bordo, estremo                                                                                                                                                                               
ckoi; voz                                                                                                                                                                                             
ckoi-yotur; amarrar                                                                                                                                                                                   
cko-yu; junto                                                                                                                                                                                         
ckubi; chinchilla                                                                                                                                                                                     
ckucks; inútil                                                                                                                                                                                        
ckuckuntur; silbar                                                                                                                                                                                    
ckui-tchar; crudo                                                                                                                                                                                     
ckúlan; cara                                                                                                                                                                                          
ckuli; descalzo                                                                                                                                                                                       
ckulub; tobillo                                                                                                                                                                                       
ckulun; malva                                                                                                                                                                                         
ckumaynir; paralítico                                                                                                                                                                                 
ckumi; lático, penca                                                                                                                                                                                  
ckummi; planta que parece de la familia de las tunas                                                                                                                                                  
ckun; nosotros                                                                                                                                                                                        
ckunna; nosotros                                                                                                                                                                                      
ckunabur; espantajo                                                                                                                                                                                   
ckunatur; temer                                                                                                                                                                                       
ckunau/ ao; miedo                                                                                                                                                                                     
ckunna; nuestro, nosotros                                                                                                                                                                             
ckunnatur; cobarde                                                                                                                                                                                    
ckunsa; nuestro                                                                                                                                                                                       
ckuntur; cocer                                                                                                                                                                                        
ckuppa; hospedaje                                                                                                                                                                                     
ckúputur; ofrecer (r. ckuppa)                                                                                                                                                                         
ckurasa; ollita                                                                                                                                                                                       
ckuratur; romper                                                                                                                                                                                      
ckuri; viento                                                                                                                                                                                         
ckuri; cintura                                                                                                                                                                                        
ckurius; disentería                                                                                                                                                                                   
ckuru; leon, puma                                                                                                                                                                                     
ckuruí-ya; viento                                                                                                                                                                                     
ckusckatur; abrigarse                                                                                                                                                                                 
ckusckantur; (cfr ckoyotur)                                                                                                                                                                           
ckusso; canilla                                                                                                                                                                                       
ckustalanau; planta del pié                                                                                                                                                                           
ckustur; madurar                                                                                                                                                                                      
ckussur; médula de los huesos                                                                                                                                                                         
ckuta; sal                                                                                                                                                                                            
ckutchir; pié                                                                                                                                                                                         
ckutchubi; esquina                                                                                                                                                                                    
ckutckuntur; salar                                                                                                                                                                                    
ckutckutí; chinchilla ordinaria- la que llaman vulgarmente hamuscada                                                                                                                                  
ckutchi; chancho, cochino                                                                                                                                                                             
ckutchi; empeine                                                                                                                                                                                      
ckutchintur; andar a pie                                                                                                                                                                              
ckutta; sal                                                                                                                                                                                           
ckutti; ombligo                                                                                                                                                                                       
ckutuptur; volcar (cfr. libainatur)                                                                                                                                                                   
ckuy-iay; triste                                                                                                                                                                                      
ckuy-iatur; tener lástima                                                                                                                                                                             
ckui-iucur; ruedecita del uso para hilar                                                                                                                                                              
h                                                                                                                                                                                                     
haaba-yur; agua corrompida                                                                                                                                                                            
haabu; aliento, respiración, saliva                                                                                                                                                                   
haalar; estrella                                                                                                                                                                                      
haalarckapur; lucero                                                                                                                                                                                  
haalur; calor                                                                                                                                                                                         
haana; trenza de pelo                                                                                                                                                                                 
haaras; cien                                                                                                                                                                                          
haari; cuervo, cóndor                                                                                                                                                                                 
haaru; resuello                                                                                                                                                                                       
haata; ayer                                                                                                                                                                                           
haatchi; negro                                                                                                                                                                                        
haatti; quizás                                                                                                                                                                                        
heckeu; (cfr hachiu y ackiu)                                                                                                                                                                          
hackamur; lengua                                                                                                                                                                                      
hackamur; leña de quemar                                                                                                                                                                              
hackiu; (cfr hackeu)                                                                                                                                                                                  
hackmur; revenque                                                                                                                                                                                     
hacktú; (cfr hatta)                                                                                                                                                                                   
haicktur; vergüenza, avergonzarse                                                                                                                                                                     
hay-may-tier; aprender, saber                                                                                                                                                                         
hay-ps-ckuntur; entender                                                                                                                                                                              
haitatur; beber                                                                                                                                                                                       
halaynatur; reunir                                                                                                                                                                                    
halpaps; adelante                                                                                                                                                                                     
halur-tiempia; tiempo de calores                                                                                                                                                                      
hammatur; decir                                                                                                                                                                                       
hampi; medicina                                                                                                                                                                                       
hampitur; curar                                                                                                                                                                                       
hanatuya; zorrino                                                                                                                                                                                     
hanckusatur; obsequiar                                                                                                                                                                                
hapus; harina tostada                                                                                                                                                                                 
hara; rancho, vivienda provisional (de ahí ara q. cfr)                                                                                                                                                
harickuntur; descansar (rad hara)                                                                                                                                                                     
harnatur; cernir                                                                                                                                                                                      
hatckatchatur; respirar                                                                                                                                                                               
hatitur; entrar                                                                                                                                                                                       
