Glottocode;ISO6393;LanguageName
seda1262;sed;Sedang
seda1262;sed;Sedang
seda1262;sed;Sedang
seda1262;sed;Sedang
seda1262;sed;Sedang
seda1262;sed;Sedang
seda1262;sed;Sedang
seda1262;sed;Sedang
seda1262;sed;Sedang
seda1262;sed;Sedang
seda1262;sed;Sedang
seda1262;sed;Sedang
seda1262;sed;Sedang
seda1262;sed;Sedang
seda1262;sed;Sedang
seda1262;sed;Sedang
seda1262;sed;Sedang
seda1262;sed;Sedang
seda1262;sed;Sedang
seda1262;sed;Sedang
seda1262;sed;Sedang
seda1262;sed;Sedang
seda1262;sed;Sedang
seda1262;sed;Sedang
seda1262;sed;Sedang
seda1262;sed;Sedang
seda1262;sed;Sedang
seda1262;sed;Sedang
seda1262;sed;Sedang
cent1989;khm;Cambodian
cent1989;khm;Cambodian
cent1989;khm;Cambodian
cent1989;khm;Cambodian
cent1989;khm;Cambodian
cent1989;khm;Cambodian
cent1989;khm;Cambodian
cent1989;khm;Cambodian
cent1989;khm;Cambodian
cent1989;khm;Cambodian
cent1989;khm;Cambodian
cent1989;khm;Cambodian
cent1989;khm;Cambodian
cent1989;khm;Cambodian
cent1989;khm;Cambodian
cent1989;khm;Cambodian
cent1989;khm;Cambodian
cent1989;khm;Cambodian
cent1989;khm;Cambodian
cent1989;khm;Cambodian
cent1989;khm;Cambodian
cent1989;khm;Cambodian
cent1989;khm;Cambodian
cent1989;khm;Cambodian
cent1989;khm;Cambodian
cent1989;khm;Cambodian
cent1989;khm;Cambodian
cent1989;khm;Cambodian
cent1989;khm;Cambodian
cent1989;khm;Cambodian
cent1989;khm;Cambodian
cent1989;khm;Cambodian
cent1989;khm;Cambodian
cent1989;khm;Cambodian
cent1989;khm;Cambodian
cent1989;khm;Cambodian
cent1989;khm;Cambodian
cent1989;khm;Cambodian
cent1989;khm;Cambodian
cent1989;khm;Cambodian
cent1989;khm;Cambodian
cent1989;khm;Cambodian
viet1252;vie;Vietnamese
viet1252;vie;Vietnamese
viet1252;vie;Vietnamese
viet1252;vie;Vietnamese
viet1252;vie;Vietnamese
viet1252;vie;Vietnamese
viet1252;vie;Vietnamese
viet1252;vie;Vietnamese
viet1252;vie;Vietnamese
viet1252;vie;Vietnamese
viet1252;vie;Vietnamese
viet1252;vie;Vietnamese
viet1252;vie;Vietnamese
viet1252;vie;Vietnamese
viet1252;vie;Vietnamese
viet1252;vie;Vietnamese
viet1252;vie;Vietnamese
viet1252;vie;Vietnamese
viet1252;vie;Vietnamese
viet1252;vie;Vietnamese
viet1252;vie;Vietnamese
viet1252;vie;Vietnamese
viet1252;vie;Vietnamese
viet1252;vie;Vietnamese
viet1252;vie;Vietnamese
viet1252;vie;Vietnamese
viet1252;vie;Vietnamese
viet1252;vie;Vietnamese
viet1252;vie;Vietnamese
viet1252;vie;Vietnamese
viet1252;vie;Vietnamese
viet1252;vie;Vietnamese
viet1252;vie;Vietnamese
viet1252;vie;Vietnamese
viet1252;vie;Vietnamese
viet1252;vie;Vietnamese
viet1252;vie;Vietnamese
viet1252;vie;Vietnamese
viet1252;vie;Vietnamese
mand1415;cmn;Mandarin Chinese
mand1415;cmn;Mandarin Chinese
mand1415;cmn;Mandarin Chinese
mand1415;cmn;Mandarin Chinese
mand1415;cmn;Mandarin Chinese
mand1415;cmn;Mandarin Chinese
mand1415;cmn;Mandarin Chinese
mand1415;cmn;Mandarin Chinese
mand1415;cmn;Mandarin Chinese
mand1415;cmn;Mandarin Chinese
mand1415;cmn;Mandarin Chinese
mand1415;cmn;Mandarin Chinese
mand1415;cmn;Mandarin Chinese
mand1415;cmn;Mandarin Chinese
mand1415;cmn;Mandarin Chinese
mand1415;cmn;Mandarin Chinese
mand1415;cmn;Mandarin Chinese
mand1415;cmn;Mandarin Chinese
mand1415;cmn;Mandarin Chinese
mand1415;cmn;Mandarin Chinese
mand1415;cmn;Mandarin Chinese
mand1415;cmn;Mandarin Chinese
mand1415;cmn;Mandarin Chinese
mand1415;cmn;Mandarin Chinese
mand1415;cmn;Mandarin Chinese
mand1415;cmn;Mandarin Chinese
mand1415;cmn;Mandarin Chinese
mand1415;cmn;Mandarin Chinese
mand1415;cmn;Mandarin Chinese
mand1415;cmn;Mandarin Chinese
mand1415;cmn;Mandarin Chinese
mand1415;cmn;Mandarin Chinese
mand1415;cmn;Mandarin Chinese
mand1415;cmn;Mandarin Chinese
mand1415;cmn;Mandarin Chinese
mand1415;cmn;Mandarin Chinese
mand1415;cmn;Mandarin Chinese
mand1415;cmn;Mandarin Chinese
mand1415;cmn;Mandarin Chinese
mand1415;cmn;Mandarin Chinese
mand1415;cmn;Mandarin Chinese
mand1415;cmn;Mandarin Chinese
mand1415;cmn;Mandarin Chinese
wuch1236;wuu;Wu
wuch1236;wuu;Wu
wuch1236;wuu;Wu
wuch1236;wuu;Wu
wuch1236;wuu;Wu
wuch1236;wuu;Wu
wuch1236;wuu;Wu
wuch1236;wuu;Wu
wuch1236;wuu;Wu
wuch1236;wuu;Wu
wuch1236;wuu;Wu
wuch1236;wuu;Wu
wuch1236;wuu;Wu
wuch1236;wuu;Wu
wuch1236;wuu;Wu
wuch1236;wuu;Wu
wuch1236;wuu;Wu
wuch1236;wuu;Wu
wuch1236;wuu;Wu
wuch1236;wuu;Wu
wuch1236;wuu;Wu
wuch1236;wuu;Wu
wuch1236;wuu;Wu
wuch1236;wuu;Wu
wuch1236;wuu;Wu
wuch1236;wuu;Wu
wuch1236;wuu;Wu
wuch1236;wuu;Wu
wuch1236;wuu;Wu
wuch1236;wuu;Wu
wuch1236;wuu;Wu
wuch1236;wuu;Wu
wuch1236;wuu;Wu
wuch1236;wuu;Wu
wuch1236;wuu;Wu
wuch1236;wuu;Wu
wuch1236;wuu;Wu
wuch1236;wuu;Wu
wuch1236;wuu;Wu
wuch1236;wuu;Wu
wuch1236;wuu;Wu
hakk1236;hak;Hakka
hakk1236;hak;Hakka
hakk1236;hak;Hakka
hakk1236;hak;Hakka
hakk1236;hak;Hakka
hakk1236;hak;Hakka
hakk1236;hak;Hakka
hakk1236;hak;Hakka
hakk1236;hak;Hakka
hakk1236;hak;Hakka
hakk1236;hak;Hakka
hakk1236;hak;Hakka
hakk1236;hak;Hakka
hakk1236;hak;Hakka
hakk1236;hak;Hakka
hakk1236;hak;Hakka
hakk1236;hak;Hakka
hakk1236;hak;Hakka
hakk1236;hak;Hakka
hakk1236;hak;Hakka
hakk1236;hak;Hakka
hakk1236;hak;Hakka
hakk1236;hak;Hakka
hakk1236;hak;Hakka
hakk1236;hak;Hakka
hakk1236;hak;Hakka
hakk1236;hak;Hakka
hakk1236;hak;Hakka
hakk1236;hak;Hakka
hakk1236;hak;Hakka
hakk1236;hak;Hakka
yuec1235;yue;Cantonese
yuec1235;yue;Cantonese
yuec1235;yue;Cantonese
yuec1235;yue;Cantonese
yuec1235;yue;Cantonese
yuec1235;yue;Cantonese
yuec1235;yue;Cantonese
yuec1235;yue;Cantonese
yuec1235;yue;Cantonese
yuec1235;yue;Cantonese
yuec1235;yue;Cantonese
yuec1235;yue;Cantonese
yuec1235;yue;Cantonese
yuec1235;yue;Cantonese
yuec1235;yue;Cantonese
yuec1235;yue;Cantonese
yuec1235;yue;Cantonese
yuec1235;yue;Cantonese
yuec1235;yue;Cantonese
yuec1235;yue;Cantonese
yuec1235;yue;Cantonese
yuec1235;yue;Cantonese
yuec1235;yue;Cantonese
yuec1235;yue;Cantonese
yuec1235;yue;Cantonese
yuec1235;yue;Cantonese
yuec1235;yue;Cantonese
yuec1235;yue;Cantonese
yuec1235;yue;Cantonese
yuec1235;yue;Cantonese
yuec1235;yue;Cantonese
yuec1235;yue;Cantonese
iumi1238;ium;Yao
iumi1238;ium;Yao
iumi1238;ium;Yao
iumi1238;ium;Yao
iumi1238;ium;Yao
iumi1238;ium;Yao
iumi1238;ium;Yao
iumi1238;ium;Yao
iumi1238;ium;Yao
iumi1238;ium;Yao
iumi1238;ium;Yao
iumi1238;ium;Yao
iumi1238;ium;Yao
iumi1238;ium;Yao
iumi1238;ium;Yao
iumi1238;ium;Yao
iumi1238;ium;Yao
iumi1238;ium;Yao
iumi1238;ium;Yao
iumi1238;ium;Yao
iumi1238;ium;Yao
iumi1238;ium;Yao
iumi1238;ium;Yao
iumi1238;ium;Yao
iumi1238;ium;Yao
iumi1238;ium;Yao
iumi1238;ium;Yao
iumi1238;ium;Yao
iumi1238;ium;Yao
iumi1238;ium;Yao
iumi1238;ium;Yao
iumi1238;ium;Yao
iumi1238;ium;Yao
iumi1238;ium;Yao
iumi1238;ium;Yao
iumi1238;ium;Yao
iumi1238;ium;Yao
iumi1238;ium;Yao
iumi1238;ium;Yao
iumi1238;ium;Yao
iumi1238;ium;Yao
iumi1238;ium;Yao
iumi1238;ium;Yao
iumi1238;ium;Yao
iumi1238;ium;Yao
iumi1238;ium;Yao
iumi1238;ium;Yao
iumi1238;ium;Yao
iumi1238;ium;Yao
nyis1236;njz;Dafla
nyis1236;njz;Dafla
nyis1236;njz;Dafla
nyis1236;njz;Dafla
nyis1236;njz;Dafla
nyis1236;njz;Dafla
nyis1236;njz;Dafla
nyis1236;njz;Dafla
nyis1236;njz;Dafla
nyis1236;njz;Dafla
nyis1236;njz;Dafla
nyis1236;njz;Dafla
nyis1236;njz;Dafla
nyis1236;njz;Dafla
nyis1236;njz;Dafla
nyis1236;njz;Dafla
nyis1236;njz;Dafla
nyis1236;njz;Dafla
nyis1236;njz;Dafla
nyis1236;njz;Dafla
nyis1236;njz;Dafla
nyis1236;njz;Dafla
nyis1236;njz;Dafla
nyis1236;njz;Dafla
nyis1236;njz;Dafla
nyis1236;njz;Dafla
nyis1236;njz;Dafla
nucl1310;mya;Burmese
nucl1310;mya;Burmese
nucl1310;mya;Burmese
nucl1310;mya;Burmese
nucl1310;mya;Burmese
nucl1310;mya;Burmese
nucl1310;mya;Burmese
nucl1310;mya;Burmese
nucl1310;mya;Burmese
nucl1310;mya;Burmese
nucl1310;mya;Burmese
nucl1310;mya;Burmese
nucl1310;mya;Burmese
nucl1310;mya;Burmese
nucl1310;mya;Burmese
nucl1310;mya;Burmese
nucl1310;mya;Burmese
nucl1310;mya;Burmese
nucl1310;mya;Burmese
nucl1310;mya;Burmese
nucl1310;mya;Burmese
nucl1310;mya;Burmese
nucl1310;mya;Burmese
nucl1310;mya;Burmese
