Glottocode;ISO639P3code
bani1255;bwi
bani1255;bwi
bani1255;bwi
banj1239;bjn
engg1245;eno
bank1258;bxw
bank1258;bxw
;jjr
bank1259;dbw
bank1256;abb
hame1242;amf
cent1973;pst
bann1247;bcm
bant1281;bap
bant1286;bnq
bant1288;bno
nalo1235;nlz
baan1241;bvj
hlai1239;lic
waim1255;bao
nucl1630;bbb
maho1249;mxx
bara1361;brm
bara1375;brp
bara1380;bsn
bard1255;bcj
bare1276;bae
pamo1252;pmf
bare1279;bva
barg1252;mlp
bari1286;bch
gain1243;gcn
karn1252;bbv
kela1258;kzi
bari1297;mot
bari1284;bfa
baro1253;bjk
baro1252;bbi
baur1252;bxa
;
wara1302;wra
wara1302;wra
baru1267;byr
baru1267;byr
nort2646;pbu
basa1284;bas
basa1284;bas
izon1238;ijc
bass1258;bsc
basa1287;byq
bash1263;bsg
bash1264;bak
bash1264;bak
bask1236;bst
bask1236;bst
basq1248;eus
basq1248;eus
nucl1418;bsq
ntch1242;bud
nucl1418;bsq
nucl1418;bsq
bass1259;bsr
bass1259;bsr
keny1279;ken
nort2646;pbu
bata1301;bya
bata1290;akb
bata1294;btd
bata1291;btm
bata1301;bya
bata1288;bts
bata1285;bnm
orok1266;bdu
bata1292;btz
bata1314;bta
bata1314;bta
bate1262;btq
bate1262;btq
bats1242;bbl
batu1258;bay
batu1255;btu
ciac1237;cia
xegw1238;xeg
bauu1244;bbd
baou1238;bci
baou1238;bci
baur1253;brg
baur1252;bxa
bauw1240;bwk
bauw1240;bwk
bauz1241;bvz
bauz1241;bvz
bava1246;bar
bawm1236;bgr
baya1257;bjy
bayg1239;byg
bain1259;bab
bain1259;bab
bain1259;bab
bain1259;bab
bain1259;bab
bain1260;bcb
bain1260;bcb
bain1260;bcb
bain1260;bcb
bain1260;bcb
bain1260;bcb
bain1261;bcz
bain1261;bcz
bain1261;bcz
bain1261;bcz
bain1261;bcz
bain1261;bcz
bain1259;bab
bain1261;bcz
bayo1260;byl
bayo1260;byl
bayo1255;bda
bayo1255;bda
bayo1255;bda
bayo1255;bda
bayo1255;bda
bayo1255;bda
bayo1255;bda
bayo1255;bda
kamw1239;hig
beam1240;beo
beav1236;bea
beba1238;bfp
beam1240;beo
bedi1235;tnr
beja1238;bej
beel1236;bxq
beem1239;beq
beez1238;bnz
begb1241;bqv
begb1241;bqv
beja1238;bej
beja1238;bej
bedj1245;bjv
beka1241;bei
bekw1241;bkv
bekw1242;bkw
bekw1242;bkw
bekw1242;bkw
bekw1242;bkw
bekw1242;bkw
bela1260;beg
lamp1243;ljp
bela1256;bxb
bela1255;bvi
bela1254;bel
bela1254;bel
belh1239;byw
beli1258;bey
beli1260;bzj
bell1243;blc
kein1239;bmh
bemb1257;bem
bemb1257;bem
bemb1257;bem
beem1239;beq
beem1239;beq
beem1239;beq
bemb1255;bmb
bemb1255;bmb
bena1262;bez
bena1264;bef
bena1264;bef
bone1255;bnv
bena1262;bez
benc1235;bcq
bend1258;bdp
ejag1239;etu
ejag1239;etu
bend1258;bdp
bend1260;bct
bone1255;bnv
bomi1238;zmx
beng1286;nhb
beng1282;bng
beng1280;ben
beng1280;ben
beng1282;bng
bwaa1238;bww
bori1243;adi
tari1263;rif
bent1238;dbt
